DATE,TIME,MODEL CODE,TYPE,BARCODE,SERIAL No.,PASS/NG,50Hz WATTAGE,50Hz WATTAGE FLUCTUATED,50Hz AIR VOLUME,50Hz AIR VOLUME FLUCTUATED,50Hz CLOSED PRESSURE,50Hz CLOSED PRESSURE FLUCTUATED,50Hz AMPERAGE,50Hz AMPERAGE FLUCTUATED,60Hz WATTAGE,60Hz WATTAGE FLUCTUATED,60Hz AIR VOLUME,60Hz AIR VOLUME FLUCTUATED,60Hz CLOSED PRESSURE,60Hz CLOSED PRESSURE FLUCTUATED,60Hz AMPERAGE,60Hz AMPERAGE FLUCTUATED
24/07/2025,17:35:24,120LL2400P,N,,725007388,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.3,1.5,112.0,2.0,41.1,1.1000000000000014,0.926,0.013999999999999901
24/07/2025,17:36:42,120LL2400P,N,,725007389,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.7000000000000028,113.0,1.0,42.1,1.0,0.942,0.015999999999999903
24/07/2025,17:41:52,120LL2400P,N,,725007390,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.5,0.5,113.0,0.0,41.9,0.20000000000000284,0.931,0.010999999999999899
24/07/2025,17:43:16,120LL2400P,N,,725007391,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.7,1.2000000000000028,114.0,1.0,42.5,0.6000000000000014,0.946,0.014999999999999902
24/07/2025,17:44:57,120LL2400P,N,,725007392,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.3,1.5999999999999943,115.0,1.0,42.5,0.0,0.968,0.02200000000000002
24/07/2025,17:47:07,120LL2400P,N,,725007393,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.6,2.700000000000003,113.0,2.0,42.0,0.5,0.929,0.038999999999999924
24/07/2025,17:50:33,120LL2400P,N,,725007394,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.9,1.6999999999999886,111.0,2.0,41.4,0.6000000000000014,0.919,0.010000000000000009
24/07/2025,17:53:21,120LL2400P,N,,725007395,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.9,1.0,112.0,1.0,41.5,0.10000000000000142,0.927,0.008000000000000007
24/07/2025,17:55:47,120LL2400P,N,,725007396,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.5,0.5999999999999943,113.0,1.0,41.2,0.29999999999999716,0.935,0.008000000000000007
24/07/2025,17:58:56,120LL2400P,N,,725007397,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.7,2.200000000000003,114.0,1.0,43.4,2.1999999999999957,0.965,0.029999999999999916
24/07/2025,18:00:24,120LL2400P,N,,725007398,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.1,0.6000000000000085,114.0,0.0,42.7,0.6999999999999957,0.949,0.016000000000000014
24/07/2025,18:03:06,120LL2400P,N,,725007399,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.2,0.8999999999999915,113.0,1.0,42.7,0.0,0.945,0.0040000000000000036
24/07/2025,18:04:23,120LL2400P,N,,725007400,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.7,0.5,113.0,0.0,42.6,0.10000000000000142,0.946,0.0010000000000000009
24/07/2025,18:07:48,120LL2400P,N,,725007401,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.7,1.0,114.0,1.0,42.4,0.20000000000000284,0.966,0.020000000000000018
24/07/2025,18:09:01,120LL2400P,N,,725007402,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.4,1.2999999999999972,113.0,1.0,42.8,0.3999999999999986,0.955,0.01100000000000001
24/07/2025,18:10:54,120LL2400P,N,,725007403,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.9,2.5,111.0,2.0,41.4,1.3999999999999986,0.909,0.04599999999999993
